id,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,defects
55,0,3,1,0,0,0,2,1.0,0,0,1,0.5,6,1,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0,0,6,0.29,0,0,0,0,7,0.0,0,False
56,2,1,1,0,0,0,1,0.5,0,0,1,1.0,2,1,0,2,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,3,0.17,2,4,2,4,6,0.0,2,False
57,0,1,1,0,0,0,1,0.33,0,0,1,1.0,2,1,0,3,1,9.51,4.0,152.16,0.01,12,0.25,8.45,38.04,1.0,0,0,3,0.2,4,8,3,6,5,0.0,3,False
58,0,3,0,2,0,4,2,0.29,2,2,1,0.5,6,1,0,5,3,12.44,9.0,1008.0,0.04,28,0.11,56.0,112.0,0.5,1,2,6,0.18,14,14,7,9,11,28.57,7,False
59,3,7,2,20,5,12,4,0.18,6,2,4,1.0,15,1,0,2,0,21.59,13.59,3988.08,0.1,64,0.07,221.56,293.44,0.25,3,6,13,0.13,23,41,11,13,32,92.59,22,True
60,14,25,9,11,16,44,13,0.21,20,2,6,0.46,54,5,0,52,0,27.67,49.46,67672.14,0.46,245,0.02,3759.56,1368.32,0.38,12,22,43,0.14,91,154,23,25,95,34.18,63,True
61,0,1,1,0,0,0,1,0.5,0,0,1,1.0,2,1,0,2,1,5.89,7.0,288.46,0.01,13,0.14,16.03,41.21,1.0,0,0,3,0.25,4,9,2,7,4,0.0,2,False
62,5,3,3,0,0,4,2,0.12,2,2,2,1.0,9,1,0,17,1,21.41,11.11,2643.15,0.08,56,0.09,146.84,237.88,0.5,1,2,9,0.08,20,36,9,10,24,0.0,17,False
63,37,48,0,1,48,0,27,0.23,0,0,1,0.04,93,13,0,115,4,74.42,39.83,118062.58,0.99,482,0.03,6559.03,2964.18,0.48,0,0,68,0.13,156,326,47,24,203,29.88,116,False
64,2,1,0,0,1,0,1,0.07,0,0,1,1.0,1,1,0,14,2,20.1,20.0,8039.07,0.13,121,0.05,446.61,401.95,1.0,0,0,2,0.05,60,61,6,4,20,6.67,14,False
65,7,5,1,2,2,8,3,0.27,4,2,2,0.67,9,1,0,9,0,10.83,19.25,4012.87,0.07,51,0.05,222.94,208.46,0.33,2,4,8,0.14,21,30,6,11,22,30.77,11,False
66,4,3,1,2,1,4,2,0.2,2,2,2,1.0,7,1,0,8,0,13.65,11.0,1651.29,0.05,36,0.09,91.74,150.12,0.5,1,2,7,0.12,14,22,7,11,17,27.27,10,False
67,25,15,14,9,5,26,8,0.1,12,2,6,0.75,47,4,0,73,2,76.97,31.91,78348.5,0.82,398,0.03,4352.69,2455.63,0.5,7,13,41,0.07,178,220,53,19,115,16.09,82,True
68,4,1,0,0,2,0,1,0.17,0,0,1,1.0,1,1,0,6,0,16.85,8.57,1237.97,0.05,34,0.12,68.78,144.43,1.0,0,0,2,0.07,10,24,7,12,14,25.0,6,False
69,3,7,2,2,3,10,4,0.33,4,2,3,0.75,12,4,1,10,5,21.0,15.0,4723.94,0.1,67,0.07,262.44,314.93,1.0,3,5,10,0.18,30,37,13,13,22,33.33,12,False
70,5,3,1,0,2,4,2,0.13,2,2,1,0.5,6,1,0,16,1,24.76,11.0,2995.56,0.09,62,0.09,166.42,272.32,0.5,1,2,6,0.08,20,42,10,11,25,11.11,16,False
71,21,11,3,0,58,20,6,0.12,10,2,2,0.33,30,1,0,51,1,43.73,22.81,22757.22,0.33,175,0.04,1264.29,997.58,0.17,5,10,26,0.05,73,102,32,20,132,53.21,51,False
72,5,1,0,0,0,0,1,0.17,0,0,1,1.0,1,1,0,6,0,21.49,6.6,936.12,0.05,41,0.15,52.01,141.84,1.0,0,0,2,0.08,11,30,5,6,13,0.0,6,False
73,0,5,2,0,0,0,3,1.0,0,0,2,0.67,11,3,1,0,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0,10,0.3,0,0,0,0,10,0.0,0,False
74,4,1,2,0,1,0,1,0.25,0,0,1,1.0,3,1,0,4,2,19.03,4.08,317.31,0.03,21,0.24,17.63,77.71,1.0,0,0,4,0.08,7,14,6,7,12,20.0,4,False
75,2,1,1,1,0,0,1,0.2,0,0,1,1.0,2,1,0,4,1,15.86,3.5,194.27,0.02,15,0.29,10.79,55.51,1.0,0,0,3,0.11,6,9,6,7,9,20.0,5,False
76,29,7,1,10,30,12,4,0.1,6,2,4,1.0,42,1,0,31,0,90.42,23.23,48777.92,0.7,392,0.04,2709.88,2100.16,0.25,3,6,40,0.04,144,248,31,10,102,56.34,41,True
77,1,1,1,0,0,0,1,0.2,0,0,1,1.0,2,1,0,5,0,14.98,6.0,539.15,0.03,23,0.17,29.95,89.86,1.0,0,0,3,0.13,6,17,5,10,8,0.0,5,False
78,0,13,0,1,2,24,7,0.7,12,2,1,0.14,31,1,0,9,0,13.5,17.0,3900.44,0.08,64,0.06,216.69,229.44,0.14,6,12,26,0.5,34,30,6,6,14,25.0,10,False
79,2,17,2,0,0,0,9,0.47,0,0,4,0.44,32,6,0,19,0,29.58,26.25,20382.96,0.26,144,0.04,1132.39,776.49,0.67,0,0,25,0.41,70,74,24,18,22,0.0,19,False
80,1,1,0,0,0,0,1,0.5,0,0,1,1.0,1,1,0,2,0,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1.0,0,0,2,0.2,1,4,1,4,5,0.0,2,False
81,2,1,1,0,1,0,1,0.5,0,0,1,1.0,2,1,0,2,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,3,0.14,1,3,1,3,7,33.33,2,False
82,10,15,2,3,9,24,8,0.32,10,2,4,0.5,26,1,0,22,0,15.63,41.67,27127.69,0.22,142,0.02,1507.09,651.06,0.13,7,12,20,0.17,50,92,9,15,46,35.29,25,False
83,1,15,1,5,5,0,9,0.31,0,0,4,0.44,35,4,0,24,0,31.55,35.27,39260.76,0.37,190,0.03,2181.15,1113.02,0.44,0,0,28,0.25,81,109,31,27,36,29.41,29,False
84,2,1,2,2,0,0,1,0.2,0,0,1,1.0,3,1,0,3,1,11.59,4.38,221.89,0.02,16,0.23,12.33,50.72,1.0,0,0,4,0.11,7,9,4,5,9,40.0,5,False
85,6,3,0,0,3,4,2,0.22,2,2,1,0.5,6,1,0,9,1,14.18,10.0,1417.77,0.05,34,0.1,78.77,141.78,0.5,1,2,6,0.1,10,24,6,12,20,25.0,9,False
86,0,3,1,0,0,4,2,0.33,2,2,2,1.0,5,1,0,6,1,18.96,7.64,1105.39,0.05,32,0.13,61.41,144.75,0.5,1,2,5,0.25,14,18,11,12,8,0.0,6,False
87,1,3,0,0,0,0,2,0.4,0,0,1,0.5,5,1,0,5,1,13.33,7.5,750.0,0.03,25,0.13,41.67,100.0,0.5,0,0,5,0.29,9,16,6,10,7,0.0,5,False
88,5,1,1,0,0,0,1,0.1,0,0,1,1.0,2,1,0,10,1,19.62,8.36,1370.57,0.05,41,0.12,76.14,164.0,1.0,0,0,3,0.06,13,28,7,9,17,0.0,10,False
89,0,3,2,0,0,0,2,1.0,0,0,2,1.0,7,1,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0,0,7,0.12,0,0,0,0,17,0.0,0,False
90,2,7,2,0,0,0,4,0.36,0,0,1,0.25,15,1,0,11,2,14.12,15.0,3176.62,0.07,49,0.07,176.48,211.77,0.25,0,0,13,0.27,20,29,8,12,15,0.0,11,False
91,7,1,2,0,7,0,1,0.17,0,0,1,1.0,5,1,0,6,0,24.59,4.05,405.89,0.03,27,0.25,22.55,99.91,1.0,0,0,6,0.05,13,14,8,5,22,53.85,6,False
92,1,3,0,0,0,4,2,0.29,2,2,1,0.5,6,1,0,7,0,12.33,7.2,639.44,0.03,24,0.14,35.52,88.81,0.5,1,2,6,0.2,9,15,5,8,10,0.0,7,False
93,1,5,1,0,1,0,3,0.43,0,0,2,0.67,10,3,1,7,0,11.71,9.43,1041.34,0.04,26,0.11,57.85,110.45,1.0,0,0,9,0.3,11,15,7,12,10,12.5,7,False
94,2,1,3,0,6,0,1,0.07,0,0,1,1.0,10,1,0,14,0,41.04,6.42,1689.97,0.09,62,0.16,93.89,263.37,1.0,0,0,11,0.04,22,40,12,7,24,30.0,14,False
95,31,23,15,11,17,42,12,0.14,20,2,10,0.83,61,4,0,74,0,71.39,24.46,42701.09,0.58,291,0.04,2372.28,1746.0,0.33,11,21,51,0.09,125,166,46,18,135,27.45,85,True
96,4,3,2,0,0,4,2,0.22,2,2,2,1.0,6,1,0,9,1,16.18,6.43,668.57,0.03,26,0.16,37.14,104.0,0.5,1,2,6,0.13,10,16,7,9,16,0.0,9,False
97,3,3,0,0,0,4,2,0.15,2,2,1,0.5,6,1,0,13,0,12.62,8.8,976.92,0.04,30,0.11,54.27,111.01,0.5,1,2,6,0.11,11,19,5,8,19,0.0,13,False
98,3,1,1,0,0,0,1,0.14,0,0,1,1.0,2,1,0,7,5,22.72,7.56,1297.09,0.06,42,0.13,72.06,171.67,1.0,0,0,3,0.06,17,25,9,8,16,0.0,7,False
99,1,7,0,0,0,0,4,0.16,0,0,1,0.25,14,1,0,25,1,32.68,28.0,25622.15,0.31,177,0.04,1423.45,915.08,0.25,0,0,12,0.14,56,121,18,18,28,0.0,25,False
100,1,5,2,0,0,0,3,0.6,0,0,3,1.0,9,1,0,5,0,17.03,4.0,272.46,0.02,19,0.25,15.14,68.11,0.33,0,0,8,0.38,8,11,6,6,8,0.0,5,False
101,9,11,3,16,7,20,6,0.13,10,2,2,0.33,25,1,0,31,1,33.43,24.17,19526.57,0.27,148,0.04,1084.81,808.0,0.17,5,10,21,0.09,58,90,24,20,65,42.59,47,True
102,15,3,1,6,8,4,2,0.05,2,2,2,1.0,7,1,0,31,0,36.01,29.66,31674.07,0.36,205,0.03,1759.67,1067.94,0.5,1,2,7,0.03,87,118,22,15,62,31.11,37,False
103,20,7,6,11,8,4,5,0.13,2,2,5,1.0,21,1,0,29,0,43.45,17.02,12581.62,0.25,131,0.06,698.98,739.35,0.2,1,2,18,0.07,47,84,29,21,70,39.58,40,True
104,7,29,3,7,14,0,15,0.47,0,0,5,0.33,63,9,0,25,0,32.32,33.06,35331.2,0.36,184,0.03,1962.84,1068.55,0.6,0,0,50,0.27,82,102,31,25,55,45.65,32,False
105,7,3,0,1,0,4,2,0.13,2,2,1,0.5,6,1,0,14,6,20.48,14.77,4470.34,0.1,66,0.07,248.35,302.61,0.5,1,2,6,0.07,25,41,11,13,30,6.67,15,True
106,12,7,4,25,8,12,4,0.09,6,2,3,0.75,18,1,0,20,0,41.64,16.78,11718.04,0.23,141,0.06,651.0,698.54,0.25,3,6,16,0.06,61,80,20,11,67,62.26,45,True
107,1,3,1,0,0,4,2,0.17,2,2,1,0.5,7,1,0,12,2,18.37,25.65,12086.9,0.16,97,0.04,671.49,471.22,0.5,1,2,7,0.13,27,70,10,19,16,0.0,12,False
108,10,25,4,0,5,48,13,0.33,24,2,6,0.46,56,1,0,40,2,21.29,46.67,46370.6,0.33,188,0.02,2576.14,993.66,0.08,12,24,45,0.23,80,108,18,21,57,11.11,40,False
109,2,1,3,0,6,0,1,0.07,0,0,1,1.0,10,1,0,14,0,41.04,6.42,1689.97,0.09,62,0.16,93.89,263.37,1.0,0,0,11,0.04,22,40,12,7,24,30.0,14,False
110,13,1,5,1,13,0,1,0.08,0,0,1,1.0,6,1,0,12,0,32.22,14.76,7021.85,0.16,92,0.07,390.1,475.63,1.0,0,0,7,0.02,33,59,19,17,41,53.85,13,False
111,1,3,1,0,0,0,2,0.29,0,0,2,1.0,6,1,0,7,0,13.87,8.25,944.2,0.04,28,0.12,52.46,114.45,0.5,0,0,6,0.2,9,19,6,11,10,0.0,7,False
112,3,3,1,0,0,4,2,0.33,2,2,2,1.0,5,1,0,6,0,11.62,3.0,104.61,0.01,11,0.33,5.81,34.87,0.5,1,2,5,0.18,3,8,3,6,11,0.0,6,False
113,1,3,1,0,0,4,2,0.4,2,2,2,1.0,7,1,0,5,3,11.52,8.33,800.0,0.03,24,0.12,44.44,96.0,0.5,1,2,7,0.25,10,14,6,10,8,0.0,5,False
114,4,1,1,0,1,0,1,0.14,0,0,1,1.0,2,1,0,7,1,18.28,7.5,1027.99,0.05,36,0.13,57.11,137.06,1.0,0,0,3,0.07,15,21,7,7,14,12.5,7,False
115,5,7,0,4,0,10,4,0.44,4,2,1,0.25,11,1,0,5,2,7.21,20.4,3001.83,0.05,36,0.05,166.77,147.15,0.25,3,5,9,0.25,17,19,5,12,16,44.44,9,False
116,1,11,2,1,0,16,6,0.6,6,2,4,0.67,18,5,0,9,1,12.07,14.08,2393.0,0.06,40,0.07,132.94,169.92,0.83,5,8,14,0.46,13,27,6,13,13,10.0,10,False
117,4,1,2,0,6,0,1,0.17,0,0,1,1.0,5,1,0,6,0,24.59,4.05,405.89,0.03,27,0.25,22.55,99.91,1.0,0,0,6,0.06,13,14,8,5,18,50.0,6,False
118,6,35,8,0,4,0,18,0.31,0,0,11,0.61,77,12,0,59,2,41.64,39.47,64869.18,0.55,283,0.03,3603.84,1643.48,0.67,0,0,61,0.16,122,161,34,22,113,6.35,59,False
119,23,19,5,7,16,36,10,0.21,18,2,5,0.5,40,1,0,41,0,47.86,19.04,17351.18,0.3,169,0.05,963.95,911.3,0.1,9,18,32,0.11,56,113,25,17,89,35.94,48,False
120,0,13,3,0,0,0,7,1.0,0,0,4,0.57,29,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.14,0,0,24,0.54,0,0,0,0,13,0.0,0,False
121,3,1,1,0,0,0,1,0.25,0,0,1,1.0,3,1,0,4,0,17.28,7.33,929.22,0.04,31,0.14,51.62,126.71,1.0,0,0,4,0.04,8,23,6,11,23,0.0,4,False
122,5,5,3,0,0,0,3,0.3,0,0,3,1.0,13,1,0,10,0,18.13,7.5,1020.0,0.05,34,0.13,56.67,136.0,0.33,0,0,12,0.18,15,19,8,8,17,0.0,10,False
123,1,3,2,0,0,4,2,0.17,2,2,2,1.0,7,1,0,12,1,36.8,7.33,1979.11,0.09,55,0.14,109.95,269.88,0.5,1,2,7,0.13,22,33,18,12,15,0.0,12,False
124,1,1,1,0,0,0,1,0.13,0,0,1,1.0,2,1,0,8,4,12.0,6.67,533.33,0.03,20,0.15,29.63,80.0,1.0,0,0,3,0.1,8,12,6,10,10,0.0,8,False
125,0,1,0,0,0,0,1,1.0,0,0,1,1.0,1,1,0,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,2,1.0,0,2,0,2,1,0.0,0,False
