id,total_loc,blank_loc,comment_loc,code_and_comment_loc,executable_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_vocabulary,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_error,halstead_time,branch_count,decision_count,call_pairs,condition_count,multiple_condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,design_complexity,design_density,normalized_cyclomatic_complexity,formal_parameters,defects
78,6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1.0,1,0.5,0.33,0,False
79,26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1.0,1,0.17,0.23,0,False
80,60,0,8,0,52,26,16,71,114,42,185,691,0.05,20.0,13820.0,0.23,767.78,38,19,9,19,4,15,0.29,1.0,9,0.6,0.25,1,True
81,4,0,2,0,2,5,4,5,7,9,12,26,0.5,2.0,52.0,0.01,2.89,0,0,0,0,0,1,0.5,0.0,0,0.0,0.25,0,False
82,3,0,0,0,3,2,4,2,5,6,7,12,0.5,2.0,24.0,0.0,1.33,0,0,0,0,0,1,0.33,0.0,0,0.0,0.33,0,False
83,3,0,0,0,3,2,4,2,5,6,7,12,0.5,2.0,24.0,0.0,1.33,0,0,0,0,0,1,0.33,0.0,0,0.0,0.33,0,False
84,60,0,8,0,52,26,16,70,113,42,183,683,0.05,20.0,13660.0,0.23,758.89,38,19,9,19,4,15,0.29,1.0,9,0.6,0.25,1,False
85,48,0,7,0,41,22,11,51,84,33,135,472,0.08,12.5,5900.0,0.16,327.78,30,15,0,15,1,14,0.34,1.0,0,0.0,0.29,0,False
86,6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1.0,1,0.5,0.33,0,False
87,26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1.0,1,0.17,0.23,0,False
88,95,0,13,0,82,36,19,118,184,55,302,1210,0.03,33.33,40333.33,0.4,2240.74,76,38,13,38,10,28,0.34,1.0,13,0.46,0.29,1,True
89,32,0,5,0,27,16,11,33,56,27,89,293,0.09,11.11,3255.56,0.1,180.86,18,9,0,9,1,8,0.3,1.0,0,0.0,0.25,0,False
90,6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1.0,1,0.5,0.33,0,False
91,26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1.0,1,0.17,0.23,0,False
92,34,0,6,0,28,18,13,34,59,31,93,319,0.08,12.5,3987.5,0.11,221.53,20,10,4,10,2,8,0.29,1.0,4,0.5,0.24,1,False
93,38,0,5,0,33,22,11,39,62,33,101,353,0.1,10.0,3530.0,0.12,196.11,30,15,0,15,1,14,0.42,1.0,0,0.0,0.37,0,False
94,6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1.0,1,0.5,0.33,0,False
95,26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1.0,1,0.17,0.23,0,False
96,34,0,6,0,28,18,13,34,59,31,93,319,0.08,12.5,3987.5,0.11,221.53,20,10,4,10,2,8,0.29,1.0,4,0.5,0.24,1,False
97,40,0,6,0,34,19,11,42,70,30,112,380,0.08,12.5,4750.0,0.13,263.89,24,12,0,12,1,11,0.32,1.0,0,0.0,0.28,0,False
98,3,0,0,0,3,2,4,2,5,6,7,12,0.5,2.0,24.0,0.0,1.33,0,0,0,0,0,1,0.33,0.0,0,0.0,0.33,0,False
99,4,0,0,0,4,3,5,4,7,8,11,22,0.3,3.33,73.33,0.01,4.07,0,0,0,0,0,1,0.25,0.0,0,0.0,0.25,0,False
100,95,0,13,0,82,36,19,118,184,55,302,1210,0.03,33.33,40333.33,0.4,2240.74,76,38,13,38,10,28,0.34,1.0,13,0.46,0.29,1,False
101,40,0,5,0,35,24,11,41,64,35,105,373,0.11,9.09,3390.91,0.12,188.38,34,17,0,17,1,16,0.46,1.0,0,0.0,0.4,0,False
102,6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1.0,1,0.5,0.33,0,False
103,26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1.0,1,0.17,0.23,0,False
104,34,0,6,0,28,18,13,34,59,31,93,319,0.08,12.5,3987.5,0.11,221.53,20,10,4,10,2,8,0.29,1.0,4,0.5,0.24,1,False
105,12,0,3,0,9,11,15,22,32,26,54,175,0.07,14.29,2500.0,0.06,138.89,8,4,0,3,1,4,0.44,1.33,0,0.0,0.33,2,False
106,3,0,0,0,3,5,6,5,8,11,13,31,0.33,3.03,93.94,0.01,5.22,0,0,0,0,0,1,0.33,0.0,0,0.0,0.33,3,False
107,18,0,3,0,15,10,15,31,46,25,77,247,0.04,25.0,6175.0,0.08,343.06,12,6,0,5,1,6,0.4,1.2,0,0.0,0.33,2,False
108,8,0,0,0,8,7,7,8,14,14,22,58,0.25,4.0,232.0,0.02,12.89,4,2,0,2,1,2,0.25,1.0,0,0.0,0.25,1,False
109,2,0,0,0,2,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0,0,0,0,0,1,0.5,0.0,0,0.0,0.5,0,False
110,2,0,0,0,2,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0,0,0,0,0,1,0.5,0.0,0,0.0,0.5,0,False
111,2,0,0,0,2,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0,0,0,0,0,1,0.5,0.0,0,0.0,0.5,0,False
112,4,0,0,0,4,2,5,3,7,7,10,19,0.27,3.7,70.37,0.01,3.91,2,1,0,1,0,2,0.5,1.0,0,0.0,0.5,0,False
113,2,0,0,0,2,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0,0,0,0,0,1,0.5,0.0,0,0.0,0.5,0,False
114,2,0,0,0,2,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0,0,0,0,0,1,0.5,0.0,0,0.0,0.5,0,False
115,2,0,0,0,2,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0,0,0,0,0,1,0.5,0.0,0,0.0,0.5,0,False
116,2,0,0,0,2,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0,0,0,0,0,1,0.5,0.0,0,0.0,0.5,0,False
117,32,0,5,0,27,16,11,33,56,27,89,293,0.09,11.11,3255.56,0.1,180.86,18,9,0,9,1,8,0.3,1.0,0,0.0,0.25,0,False
118,6,0,0,0,6,3,5,5,11,8,16,33,0.24,4.17,137.5,0.01,7.64,4,2,0,2,0,3,0.5,1.0,0,0.0,0.5,0,False
119,6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1.0,1,0.5,0.33,0,False
120,27,0,3,0,24,16,9,26,44,25,70,225,0.14,7.14,1607.14,0.08,89.29,16,8,1,8,3,6,0.25,1.0,1,0.17,0.22,0,False
121,51,2,12,0,37,29,17,58,91,46,149,570,0.06,16.67,9500.0,0.19,527.78,34,17,4,17,3,14,0.38,1.0,4,0.29,0.27,1,True
80,31,1,6,0,23,19,14,37,58,33,96,352,0.07470566481993376,13.944550120038942,5534.916496489532,0.11647167590033117,307.4989447739388,19,9,2,9,1,8,0.34078489381350996,1.4901888273311257,2,0.14784524007397357,0.27,0,True
45,18,0,6,0,11,14,8,19,30,23,49,155,0.176523670181515,5.72049055995339,885.3439142967203,0.04942061169691917,49.19005651973361,9,4,2,4,1,3,0.32072978715070666,0.9420611696919167,2,0.7027859060782915,0.20768244678767667,0,True
28,17,0,5,0,11,10,13,26,40,24,67,222,0.07858312977962865,15.354217555092838,4488.51127726358,0.07569478370061893,249.36388113296442,10,5,0,4,0,5,0.4892915648898143,1.3607903435675863,0,0.0392642620706808,0.36430521629938106,0,True
55,19,0,3,0,15,13,13,25,38,26,64,218,0.08379296712487001,12.260370092857423,3084.7102051103384,0.07103516437564991,171.37721444753038,10,5,0,4,0,5,0.31655208766701326,1.793098904162334,0,0.06000131779292314,0.27,0,True
31,11,0,3,0,8,11,7,20,26,19,46,136,0.1457684843131975,7.140354974207382,952.2620728818678,0.04429474738553292,52.90630814548864,4,2,3,2,0,2,0.2387159581685267,0.4294747385532919,3,2.496838415063478,0.1871789895421317,0,True
58,24,0,7,0,15,17,10,25,40,27,65,223,0.1608499623768262,7.332974316612175,2253.7453116273464,0.07234171056036943,125.21216268230401,13,6,2,6,2,5,0.33797918234298907,1.0,2,0.4664874341594458,0.2195750188115869,0,True
42,12,0,3,0,9,8,10,16,27,19,43,129,0.1,10.0,1292.9318843879537,0.044573297109698845,71.83186617775084,6,3,0,2,0,4,0.4519803803481621,1.385667572257529,0,0.0,0.35198038034816215,0,True
32,12,0,3,0,8,11,7,20,26,19,46,139,0.14963919386716099,6.961657216466067,943.8400540107023,0.04493986564452683,52.43859740771805,4,2,3,2,0,2,0.2490378503124293,0.4939865644526832,3,2.271047024415609,0.18975946257810733,0,True
39,9,0,1,0,7,8,10,14,23,18,38,112,0.10232147300184255,9.806157004346147,1098.1987919951334,0.04,61.01418387697948,5,2,0,1,0,3,0.46169569546959804,1.3258895248618092,0,0.46429460036850845,0.3733030604788108,0,True
20,21,0,7,0,14,12,14,34,49,27,83,284,0.06661199063373295,18.347002341566764,6376.958477528627,0.09564668227711176,354.27694941773666,13,6,0,5,1,6,0.48330599531686647,1.2829779391192642,0,0.061211350504822924,0.34435331772288824,0,True
60,40,0,11,0,27,22,17,53,80,39,133,493,0.04957296285271237,21.0128609718453,10060.45324666671,0.16393240713178092,558.9151329218008,26,13,2,12,2,11,0.42692166716279434,1.057348704310082,2,0.1961566656744113,0.28564055572093144,0,True
74,27,0,6,0,20,16,13,32,51,30,84,302,0.08331098332806874,12.782893530044538,4610.521246937581,0.10258381251974222,256.1429390238469,17,8,1,8,1,8,0.44993294998420624,1.2913872916008593,1,0.1209953708715016,0.34576069581622343,0,True
42,14,0,3,0,10,11,10,17,27,22,45,139,0.1269684086686895,8.830281465430813,1192.039317830309,0.04410760096318772,66.22917834607478,6,3,0,2,0,3,0.31232280288956316,1.5892399036812277,0,0.20538004815938615,0.24535439422087368,0,True
39,11,0,1,0,10,9,11,17,25,21,42,130,0.0996066315769422,10.51759105275523,1354.182168678549,0.041067403508549136,75.23728340416892,4,2,0,1,0,3,0.3032022105256474,1.8932596491450866,0,0.0533701754274567,0.2635955789487052,0,True
81,33,0,9,0,23,21,12,37,58,34,95,348,0.12457917640552509,10.691044584455137,4859.867780106279,0.1146576275268874,269.9960725832452,21,10,2,10,2,8,0.35309200983103123,1.0,2,0.40301355870966893,0.23771041179723745,0,True
38,10,0,0,0,9,9,11,17,24,20,42,126,0.09065376529556919,11.049417749277254,1402.3325471416879,0.04,77.91229108950539,3,1,0,0,0,2,0.29716701705253346,1.9564156469620535,0,0.087168706075893,0.2678207823481027,0,True
39,13,0,2,0,10,9,11,18,28,20,47,141,0.09227588546301016,10.857376713605872,1524.6516498641138,0.04455177092602032,84.70647861800116,5,2,0,1,0,3,0.2977241145369898,1.772411453698984,0,0.0,0.2517929162959187,0,True
112,47,1,11,0,34,27,16,53,83,43,137,521,0.07404812347879344,15.369377901255042,8490.616573155647,0.17361052260807433,471.7034031035262,31,15,3,15,2,12,0.3741466152171694,1.0,3,0.3145842160878885,0.2629759382606033,0,True
38,9,0,1,0,7,8,10,15,23,18,38,112,0.10331774970049704,9.722967900008497,1093.1342193975233,0.04,60.732735709609585,5,2,0,1,0,3,0.4452571299417989,1.2511687724627223,0,0.6635499400994074,0.36184587844428406,0,True
43,12,0,3,0,9,9,10,15,25,20,41,124,0.12237562791514395,8.75815265070951,1045.0491460693158,0.042796953489393,58.06192999868304,7,3,0,2,0,4,0.4524517906803191,1.3601523255303503,0,0.13984767446964969,0.34685788370153314,0,True
93,40,1,10,0,29,22,14,46,72,36,119,438,0.07390137165244406,14.351946276954953,6862.214728948738,0.14482054212955678,381.23521538284774,25,12,2,12,2,10,0.34872191378200085,1.0,2,0.1892150555197805,0.24219725669511188,0,True
23,7,0,0,0,6,9,8,20,23,17,43,122,0.113694334520471,8.91432500110302,1092.9898647281564,0.04,60.72402644772864,0,0,3,0,0,1,0.19732455041129235,0.42037769863526675,3,3.1592446027294665,0.19101888493176333,0,True
41,59,0,11,0,47,25,18,80,121,43,202,778,0.035485974712568286,28.760183064430617,24007.98541317378,0.25736465747322457,1333.7767166193607,45,22,6,22,5,17,0.4113176712633877,1.0603457218382513,6,0.26799088506011004,0.29548597471256827,0,True
79,29,0,6,0,21,17,13,34,55,31,90,328,0.08101908234214764,13.165068019446883,5091.2474787345345,0.1111784412169464,282.8498882375392,19,9,1,9,1,8,0.4430572470264429,1.2627385292768454,1,0.13761165301942968,0.3383120176119798,0,True
45,15,0,5,0,10,12,9,17,28,22,45,141,0.15124710600836327,7.155785616535837,961.2424630342234,0.04640588825104541,53.406404156151424,8,4,1,3,1,4,0.39109989973222803,1.1797055874477296,1,0.3202944125522705,0.27828812323013724,0,True
84,58,0,8,0,50,26,16,69,111,42,180,677,0.051140509440403915,19.620210356345495,13327.299921745509,0.22543796223838436,740.4077734303061,37,18,8,18,3,14,0.30026458496363523,1.0,8,0.5646442073474787,0.25228101888080784,1,True
40,10,0,1,0,8,8,11,15,24,19,39,117,0.09574030545522445,10.472826094470086,1238.2636624377367,0.04,68.7964689734095,5,2,0,1,0,3,0.41480610910448895,1.7129847272387777,0,0.0,0.34462397091791785,0,True
39,10,0,1,0,9,8,11,16,24,20,41,125,0.0909782626996462,11.00141284033927,1381.6535318509532,0.04,76.76336650349191,4,2,0,1,0,3,0.319565253992924,1.95108686501769,0,0.0,0.28271741509540066,0,True
105,43,1,9,0,31,25,16,50,78,41,128,484,0.06577400365846889,15.599884655297101,7943.157318234921,0.16112998170765558,441.2892745319084,28,14,3,13,2,11,0.36460265691074967,1.1924667886156295,3,0.23418463130146744,0.27,0,True
69,41,1,11,0,29,23,17,54,81,40,136,505,0.05124182511649966,20.31777983897789,9970.751899988143,0.16810456279124916,553.931910202132,27,13,2,13,2,11,0.4194117869757515,1.048169961859252,2,0.21117642604849696,0.2831372623252505,0,True
25,33,0,11,0,22,18,17,51,73,36,125,450,0.0437151873798317,23.452624456300097,10375.308678334046,0.14928796844957926,576.4064504838225,22,11,1,10,2,9,0.4532816567907573,1.0895664694109257,1,0.1434366864184853,0.2944272189302524,0,True
31,34,0,11,0,23,19,17,51,74,36,126,456,0.04461774510610273,23.076709163308212,10326.796200546978,0.15154436276525685,573.7114131131773,23,11,1,10,2,10,0.44922014702253765,1.084602401916435,1,0.1515597059549246,0.2930733823408459,0,True
